0.006;120,
0.027;126,
0.049;129,
0.071;167,
0.093;187,
0.116;177,
0.139;185,
0.162;218,
0.186;245,
0.21;285,
0.235;264,
0.26;357,
0.286;339,
0.312;451,
0.338;437,
0.365;470,
0.393;556,
0.421;594,
0.449;622,
0.478;783,
0.508;801,
0.539;933,
0.57;1082,
0.601;1179,
0.634;1307,
0.667;1469,
0.701;1624,
0.736;1828,
0.771;2077,
0.808;2163,
0.845;2656,
0.884;2985,
0.923;2986,
0.964;3548,
1.006;3771,
1.049;4287,4.508;916
1.093;4180,5.093;808
1.139;4697,6.093;191
1.186;5444,
1.235;5234,
1.286;5450,
1.338;5914,
1.393;6788,
1.449;6256,
1.508;6430,
1.57;6662,
1.634;6974,
1.701;6633,
1.771;4741,
1.845;6556,
1.923;6650,
2.006;7179,
2.093;6996,
2.186;3476,
2.286;7379,
2.393;3042,
2.508;8378,
2.634;2629,
2.771;9676,
2.923;2435,
3.093;2363,
3.286;6566,
3.508;1774,
3.771;1291,
4.093;932,
